,day,time,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
123,2018-01-17,11:15:00,7.64,7.69,7.68,7.64,856.0,0.04,0.52,7.718,7.572,7.487,4310.52,2332.83,1473.22,0.04
124,2018-01-17,11:10:00,7.68,7.68,7.64,7.64,1490.0,-0.04,-0.52,7.68,7.543,7.4755,4317.48,2283.83,1471.97,0.06
125,2018-01-17,11:05:00,7.7,7.7,7.68,7.63,3077.0,-0.02,-0.26,7.644,7.519,7.467,4049.88,2154.23,1420.82,0.13
126,2018-01-17,11:00:00,7.9,7.9,7.7,7.7,7973.0,-0.2,-2.53,7.588,7.492,7.456,3481.97,1934.03,1287.27,0.35
127,2018-01-17,10:55:00,7.5,7.89,7.89,7.5,8156.6,0.39,5.2,7.526,7.462,7.4435,1934.85,1165.23,898.52,0.35
128,2018-01-17,10:50:00,7.46,7.49,7.49,7.42,890.8,0.03,0.4,7.426,7.412,7.421,355.13,386.59,498.09,0.04
129,2018-01-17,10:45:00,7.4,7.46,7.46,7.4,152.0,0.06,0.81,7.406,7.401,7.419,250.17,374.21,474.12,0.01
130,2018-01-17,10:40:00,7.39,7.4,7.4,7.39,237.47,0.01,0.14,7.394,7.392,7.418,258.57,467.71,472.42,0.01
131,2018-01-17,10:35:00,7.39,7.4,7.39,7.39,237.4,0.0,0.0,7.396,7.393,7.42,386.08,539.26,465.5,0.01
132,2018-01-17,10:30:00,7.39,7.4,7.39,7.39,258.0,0.0,0.0,7.398,7.397,7.422,395.6,554.32,465.28,0.01
133,2018-01-17,10:25:00,7.4,7.4,7.39,7.39,366.0,-0.01,-0.14,7.398,7.402,7.425,418.04,613.62,457.38,0.02
134,2018-01-17,10:20:00,7.41,7.43,7.4,7.4,194.0,-0.01,-0.13,7.396,7.408,7.428,498.24,660.12,468.28,0.01
135,2018-01-17,10:15:00,7.39,7.41,7.41,7.38,875.0,0.02,0.27,7.39,7.415,7.43,676.84,687.42,459.13,0.04
136,2018-01-17,10:10:00,7.39,7.42,7.4,7.38,285.0,0.01,0.14,7.39,7.42,7.432,692.44,640.52,421.33,0.01
137,2018-01-17,10:05:00,7.38,7.4,7.39,7.37,370.2,0.01,0.14,7.396,7.425,7.4345,713.04,631.82,426.94,0.02
138,2018-01-17,10:00:00,7.37,7.39,7.38,7.36,767.0,0.01,0.14,7.406,7.43,7.437,809.2,609.6,423.73,0.03
139,2018-01-17,09:55:00,7.42,7.42,7.37,7.35,1087.0,-0.05,-0.67,7.42,7.437,7.4405,822.0,574.04,399.38,0.05
140,2018-01-17,09:50:00,7.46,7.46,7.41,7.41,953.0,-0.05,-0.67,7.44,7.444,7.445,698.0,477.14,373.78,0.04
141,2018-01-17,09:45:00,7.43,7.44,7.43,7.42,388.0,0.0,0.0,7.45,7.447,7.4475,588.6,391.74,355.08,0.02
142,2018-01-17,09:40:00,7.45,7.46,7.44,7.42,851.0,-0.01,-0.13,7.454,7.447,7.4505,550.6,376.24,338.13,0.04
143,2018-01-17,09:35:00,7.48,7.51,7.45,7.45,831.0,-0.03,-0.4,7.454,7.448,7.4525,410.0,301.14,300.33,0.04
144,2018-01-16,15:00:00,7.46,7.48,7.47,7.46,467.0,0.01,0.13,7.454,7.448,7.4545,326.08,276.44,260.78,0.02
145,2018-01-16,14:55:00,7.45,7.47,7.46,7.45,406.0,0.01,0.13,7.448,7.445,7.4555,256.28,230.84,253.08,0.02
146,2018-01-16,14:50:00,7.44,7.46,7.45,7.44,198.0,0.01,0.13,7.444,7.444,7.4565,194.88,202.14,247.23,0.01
147,2018-01-16,14:45:00,7.45,7.45,7.44,7.43,148.0,-0.01,-0.13,7.44,7.444,7.458,201.88,222.06,247.18,0.01
148,2018-01-16,14:40:00,7.44,7.45,7.45,7.43,411.4,0.01,0.13,7.442,7.444,7.46,192.28,237.86,242.13,0.02
149,2018-01-16,14:35:00,7.44,7.44,7.44,7.43,118.0,0.0,0.0,7.442,7.444,7.4615,226.8,224.72,228.56,0.01
150,2018-01-16,14:30:00,7.43,7.45,7.44,7.43,99.0,0.01,0.13,7.442,7.446,7.4635,205.4,270.42,235.81,0.0
151,2018-01-16,14:25:00,7.45,7.45,7.43,7.43,233.0,-0.02,-0.27,7.444,7.448,7.4655,209.4,318.42,236.91,0.01
152,2018-01-16,14:20:00,7.45,7.46,7.45,7.44,100.0,0.0,0.0,7.448,7.454,7.468,242.24,300.02,241.36,0.0
153,2018-01-16,14:15:00,7.43,7.45,7.45,7.43,584.0,0.02,0.27,7.446,7.457,7.47,283.44,299.52,242.16,0.03
154,2018-01-16,14:10:00,7.45,7.45,7.44,7.44,11.0,-0.01,-0.13,7.446,7.461,7.472,222.64,245.12,221.06,0.0
155,2018-01-16,14:05:00,7.45,7.46,7.45,7.45,119.0,0.0,0.0,7.45,7.466,7.474,335.44,275.32,228.31,0.01
156,2018-01-16,14:00:00,7.44,7.47,7.45,7.43,397.2,0.01,0.13,7.452,7.469,7.4755,427.44,292.32,226.46,0.02
157,2018-01-16,13:55:00,7.45,7.46,7.44,7.43,306.0,-0.01,-0.13,7.46,7.472,7.477,357.8,272.3,211.55,0.01
158,2018-01-16,13:50:00,7.46,7.46,7.45,7.45,280.0,-0.01,-0.13,7.468,7.476,7.4785,315.6,246.4,207.75,0.01
159,2018-01-16,13:45:00,7.46,7.46,7.46,7.45,575.0,0.0,0.0,7.476,7.479,7.4805,267.6,232.4,204.55,0.02
160,2018-01-16,13:40:00,7.49,7.49,7.46,7.46,579.0,-0.03,-0.4,7.482,7.481,7.482,215.2,201.2,191.2,0.03
161,2018-01-16,13:35:00,7.48,7.49,7.49,7.48,49.0,0.01,0.13,7.486,7.483,7.4835,157.2,155.4,177.1,0.0
162,2018-01-16,13:30:00,7.49,7.49,7.48,7.48,95.0,-0.01,-0.13,7.484,7.482,7.4845,186.8,182.7,224.15,0.0
163,2018-01-16,13:25:00,7.49,7.49,7.49,7.48,40.0,0.0,0.0,7.484,7.483,7.4865,177.2,184.8,314.72,0.0
164,2018-01-16,13:20:00,7.48,7.49,7.49,7.47,313.0,0.01,0.13,7.482,7.483,7.484,197.2,197.0,361.22,0.01
165,2018-01-16,13:15:00,7.48,7.48,7.48,7.48,289.0,0.0,0.0,7.48,7.482,7.481,187.2,181.3,370.67,0.01
166,2018-01-16,13:10:00,7.48,7.48,7.48,7.48,197.0,0.0,0.0,7.48,7.482,7.4775,153.6,160.6,378.37,0.01
167,2018-01-16,13:05:00,7.48,7.48,7.48,7.47,47.0,0.0,0.0,7.48,7.482,7.474,178.6,150.8,375.82,0.0
168,2018-01-16,11:30:00,7.48,7.49,7.48,7.48,140.0,0.0,0.0,7.482,7.481,7.4705,192.4,169.1,384.37,0.01
169,2018-01-16,11:25:00,7.48,7.49,7.48,7.48,263.0,0.0,0.0,7.484,7.482,7.467,196.8,176.7,397.52,0.01
170,2018-01-16,11:20:00,7.48,7.48,7.48,7.47,121.0,0.0,0.0,7.484,7.483,7.463,175.4,181.2,412.87,0.01
171,2018-01-16,11:15:00,7.49,7.49,7.48,7.48,322.0,-0.01,-0.13,7.484,7.484,7.458,167.6,198.8,429.67,0.01
172,2018-01-16,11:10:00,7.49,7.5,7.49,7.48,116.0,0.0,0.0,7.484,7.487,7.4535,123.0,265.6,425.02,0.01
173,2018-01-16,11:05:00,7.48,7.49,7.49,7.48,162.0,0.01,0.13,7.48,7.49,7.4485,145.8,444.64,460.19,0.01
174,2018-01-16,11:00:00,7.47,7.49,7.48,7.47,156.0,0.01,0.13,7.48,7.485,7.4435,156.6,525.44,493.59,0.01
175,2018-01-16,10:55:00,7.48,7.48,7.48,7.47,82.0,0.0,0.0,7.482,7.48,7.438,187.0,560.04,523.79,0.0
176,2018-01-16,10:50:00,7.47,7.48,7.48,7.47,99.0,0.01,0.13,7.484,7.473,7.4335,230.0,596.14,537.64,0.0
177,2018-01-16,10:45:00,7.49,7.49,7.47,7.47,230.0,-0.02,-0.27,7.49,7.466,7.429,408.2,600.84,549.59,0.01
178,2018-01-16,10:40:00,7.49,7.49,7.49,7.47,216.0,0.0,0.0,7.5,7.46,7.4245,743.48,599.64,594.14,0.01
179,2018-01-16,10:35:00,7.49,7.49,7.49,7.48,308.0,0.0,0.0,7.49,7.452,7.4205,894.28,618.34,629.79,0.01
180,2018-01-16,10:30:00,7.51,7.51,7.49,7.49,297.0,-0.02,-0.27,7.478,7.443,7.4175,933.08,644.54,620.76,0.01
181,2018-01-16,10:25:00,7.51,7.52,7.51,7.5,990.0,0.0,0.0,7.462,7.432,7.4145,962.28,660.54,615.11,0.04
182,2018-01-16,10:20:00,7.44,7.54,7.52,7.44,1906.4,0.08,1.08,7.442,7.42,7.4105,793.48,584.44,569.11,0.08
183,2018-01-16,10:15:00,7.43,7.47,7.44,7.43,970.0,0.01,0.13,7.42,7.407,7.4055,455.8,475.74,491.14,0.04
184,2018-01-16,10:10:00,7.41,7.43,7.43,7.41,502.0,0.02,0.27,7.414,7.402,7.404,342.4,461.74,455.64,0.02
185,2018-01-16,10:05:00,7.41,7.41,7.41,7.4,443.0,0.0,0.0,7.408,7.396,7.403,356.0,487.54,455.79,0.02
186,2018-01-16,10:00:00,7.41,7.42,7.41,7.41,146.0,0.0,0.0,7.402,7.394,7.4035,358.8,479.14,482.29,0.01
187,2018-01-16,09:55:00,7.41,7.42,7.41,7.41,218.0,0.0,0.0,7.398,7.392,7.404,375.4,498.34,526.43,0.01
